kerem@ubuntu:~/middlebox$ sudo docker exec insec ping -c 50 sec
PING sec (10.1.0.21) 56(84) bytes of data.
64 bytes from sec (10.1.0.21): icmp_seq=1 ttl=64 time=67.2 ms
64 bytes from sec (10.1.0.21): icmp_seq=2 ttl=64 time=131 ms
64 bytes from sec (10.1.0.21): icmp_seq=3 ttl=64 time=201 ms
64 bytes from sec (10.1.0.21): icmp_seq=4 ttl=64 time=88.4 ms
64 bytes from sec (10.1.0.21): icmp_seq=5 ttl=64 time=81.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=6 ttl=64 time=168 ms
64 bytes from sec (10.1.0.21): icmp_seq=7 ttl=64 time=66.1 ms
64 bytes from sec (10.1.0.21): icmp_seq=8 ttl=64 time=24.3 ms
64 bytes from sec (10.1.0.21): icmp_seq=9 ttl=64 time=153 ms
64 bytes from sec (10.1.0.21): icmp_seq=10 ttl=64 time=58.2 ms
64 bytes from sec (10.1.0.21): icmp_seq=11 ttl=64 time=198 ms
64 bytes from sec (10.1.0.21): icmp_seq=12 ttl=64 time=99.2 ms
64 bytes from sec (10.1.0.21): icmp_seq=13 ttl=64 time=105 ms
64 bytes from sec (10.1.0.21): icmp_seq=14 ttl=64 time=77.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=15 ttl=64 time=140 ms
64 bytes from sec (10.1.0.21): icmp_seq=16 ttl=64 time=21.7 ms
64 bytes from sec (10.1.0.21): icmp_seq=17 ttl=64 time=36.3 ms
64 bytes from sec (10.1.0.21): icmp_seq=18 ttl=64 time=51.8 ms
64 bytes from sec (10.1.0.21): icmp_seq=19 ttl=64 time=120 ms
64 bytes from sec (10.1.0.21): icmp_seq=20 ttl=64 time=81.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=21 ttl=64 time=214 ms
64 bytes from sec (10.1.0.21): icmp_seq=22 ttl=64 time=28.4 ms
64 bytes from sec (10.1.0.21): icmp_seq=23 ttl=64 time=306 ms
64 bytes from sec (10.1.0.21): icmp_seq=24 ttl=64 time=133 ms
64 bytes from sec (10.1.0.21): icmp_seq=25 ttl=64 time=65.6 ms
64 bytes from sec (10.1.0.21): icmp_seq=26 ttl=64 time=57.0 ms
64 bytes from sec (10.1.0.21): icmp_seq=27 ttl=64 time=20.5 ms
64 bytes from sec (10.1.0.21): icmp_seq=28 ttl=64 time=54.8 ms
64 bytes from sec (10.1.0.21): icmp_seq=29 ttl=64 time=304 ms
64 bytes from sec (10.1.0.21): icmp_seq=30 ttl=64 time=88.0 ms
64 bytes from sec (10.1.0.21): icmp_seq=31 ttl=64 time=129 ms
64 bytes from sec (10.1.0.21): icmp_seq=32 ttl=64 time=42.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=33 ttl=64 time=37.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=34 ttl=64 time=57.0 ms
64 bytes from sec (10.1.0.21): icmp_seq=35 ttl=64 time=51.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=36 ttl=64 time=97.7 ms
64 bytes from sec (10.1.0.21): icmp_seq=37 ttl=64 time=150 ms
64 bytes from sec (10.1.0.21): icmp_seq=38 ttl=64 time=88.0 ms
64 bytes from sec (10.1.0.21): icmp_seq=39 ttl=64 time=60.6 ms
64 bytes from sec (10.1.0.21): icmp_seq=40 ttl=64 time=86.2 ms
64 bytes from sec (10.1.0.21): icmp_seq=41 ttl=64 time=142 ms
64 bytes from sec (10.1.0.21): icmp_seq=42 ttl=64 time=45.4 ms
64 bytes from sec (10.1.0.21): icmp_seq=43 ttl=64 time=160 ms
64 bytes from sec (10.1.0.21): icmp_seq=44 ttl=64 time=122 ms
64 bytes from sec (10.1.0.21): icmp_seq=45 ttl=64 time=18.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=46 ttl=64 time=114 ms
64 bytes from sec (10.1.0.21): icmp_seq=47 ttl=64 time=41.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=48 ttl=64 time=20.8 ms
64 bytes from sec (10.1.0.21): icmp_seq=49 ttl=64 time=6.06 ms
64 bytes from sec (10.1.0.21): icmp_seq=50 ttl=64 time=129 ms

--- sec ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49058ms
rtt min/avg/max/mdev = 6.055/96.952/306.452/66.361 ms
