kerem@ubuntu:~/middlebox$ sudo docker exec insec ping -c 50 sec
PING sec (10.1.0.21) 56(84) bytes of data.
64 bytes from sec (10.1.0.21): icmp_seq=1 ttl=64 time=6.91 ms
64 bytes from sec (10.1.0.21): icmp_seq=2 ttl=64 time=8.24 ms
64 bytes from sec (10.1.0.21): icmp_seq=3 ttl=64 time=10.5 ms
64 bytes from sec (10.1.0.21): icmp_seq=4 ttl=64 time=5.98 ms
64 bytes from sec (10.1.0.21): icmp_seq=5 ttl=64 time=6.00 ms
64 bytes from sec (10.1.0.21): icmp_seq=6 ttl=64 time=7.48 ms
64 bytes from sec (10.1.0.21): icmp_seq=7 ttl=64 time=7.21 ms
64 bytes from sec (10.1.0.21): icmp_seq=8 ttl=64 time=7.45 ms
64 bytes from sec (10.1.0.21): icmp_seq=9 ttl=64 time=8.18 ms
64 bytes from sec (10.1.0.21): icmp_seq=10 ttl=64 time=6.25 ms
64 bytes from sec (10.1.0.21): icmp_seq=11 ttl=64 time=11.4 ms
64 bytes from sec (10.1.0.21): icmp_seq=12 ttl=64 time=8.86 ms
64 bytes from sec (10.1.0.21): icmp_seq=13 ttl=64 time=8.69 ms
64 bytes from sec (10.1.0.21): icmp_seq=14 ttl=64 time=7.00 ms
64 bytes from sec (10.1.0.21): icmp_seq=15 ttl=64 time=8.26 ms
64 bytes from sec (10.1.0.21): icmp_seq=16 ttl=64 time=9.99 ms
64 bytes from sec (10.1.0.21): icmp_seq=17 ttl=64 time=5.51 ms
64 bytes from sec (10.1.0.21): icmp_seq=18 ttl=64 time=5.95 ms
64 bytes from sec (10.1.0.21): icmp_seq=19 ttl=64 time=8.83 ms
64 bytes from sec (10.1.0.21): icmp_seq=20 ttl=64 time=7.06 ms
64 bytes from sec (10.1.0.21): icmp_seq=21 ttl=64 time=4.00 ms
64 bytes from sec (10.1.0.21): icmp_seq=22 ttl=64 time=6.61 ms
64 bytes from sec (10.1.0.21): icmp_seq=23 ttl=64 time=7.33 ms
64 bytes from sec (10.1.0.21): icmp_seq=24 ttl=64 time=8.08 ms
64 bytes from sec (10.1.0.21): icmp_seq=25 ttl=64 time=6.46 ms
64 bytes from sec (10.1.0.21): icmp_seq=26 ttl=64 time=7.06 ms
64 bytes from sec (10.1.0.21): icmp_seq=27 ttl=64 time=5.31 ms
64 bytes from sec (10.1.0.21): icmp_seq=28 ttl=64 time=5.84 ms
64 bytes from sec (10.1.0.21): icmp_seq=29 ttl=64 time=5.36 ms
64 bytes from sec (10.1.0.21): icmp_seq=30 ttl=64 time=6.03 ms
64 bytes from sec (10.1.0.21): icmp_seq=31 ttl=64 time=7.69 ms
64 bytes from sec (10.1.0.21): icmp_seq=32 ttl=64 time=8.25 ms
64 bytes from sec (10.1.0.21): icmp_seq=33 ttl=64 time=7.08 ms
64 bytes from sec (10.1.0.21): icmp_seq=34 ttl=64 time=10.8 ms
64 bytes from sec (10.1.0.21): icmp_seq=35 ttl=64 time=6.64 ms
64 bytes from sec (10.1.0.21): icmp_seq=36 ttl=64 time=6.91 ms
64 bytes from sec (10.1.0.21): icmp_seq=37 ttl=64 time=8.18 ms
64 bytes from sec (10.1.0.21): icmp_seq=38 ttl=64 time=9.66 ms
64 bytes from sec (10.1.0.21): icmp_seq=39 ttl=64 time=7.08 ms
64 bytes from sec (10.1.0.21): icmp_seq=40 ttl=64 time=8.80 ms
64 bytes from sec (10.1.0.21): icmp_seq=41 ttl=64 time=7.40 ms
64 bytes from sec (10.1.0.21): icmp_seq=42 ttl=64 time=8.42 ms
64 bytes from sec (10.1.0.21): icmp_seq=43 ttl=64 time=6.65 ms
64 bytes from sec (10.1.0.21): icmp_seq=44 ttl=64 time=9.01 ms
64 bytes from sec (10.1.0.21): icmp_seq=45 ttl=64 time=11.1 ms
64 bytes from sec (10.1.0.21): icmp_seq=46 ttl=64 time=5.45 ms
64 bytes from sec (10.1.0.21): icmp_seq=47 ttl=64 time=9.27 ms
64 bytes from sec (10.1.0.21): icmp_seq=48 ttl=64 time=8.67 ms
64 bytes from sec (10.1.0.21): icmp_seq=49 ttl=64 time=5.60 ms
64 bytes from sec (10.1.0.21): icmp_seq=50 ttl=64 time=9.67 ms

--- sec ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49067ms
rtt min/avg/max/mdev = 3.997/7.601/11.366/1.626 ms
