kerem@ubuntu:~/middlebox$ sudo docker exec insec ping -c 50 sec
PING sec (10.1.0.21) 56(84) bytes of data.
64 bytes from sec (10.1.0.21): icmp_seq=1 ttl=64 time=795 ms
64 bytes from sec (10.1.0.21): icmp_seq=2 ttl=64 time=332 ms
64 bytes from sec (10.1.0.21): icmp_seq=3 ttl=64 time=434 ms
64 bytes from sec (10.1.0.21): icmp_seq=4 ttl=64 time=969 ms
64 bytes from sec (10.1.0.21): icmp_seq=5 ttl=64 time=177 ms
64 bytes from sec (10.1.0.21): icmp_seq=6 ttl=64 time=386 ms
64 bytes from sec (10.1.0.21): icmp_seq=7 ttl=64 time=159 ms
64 bytes from sec (10.1.0.21): icmp_seq=8 ttl=64 time=625 ms
64 bytes from sec (10.1.0.21): icmp_seq=9 ttl=64 time=337 ms
64 bytes from sec (10.1.0.21): icmp_seq=10 ttl=64 time=500 ms
64 bytes from sec (10.1.0.21): icmp_seq=11 ttl=64 time=345 ms
64 bytes from sec (10.1.0.21): icmp_seq=12 ttl=64 time=666 ms
64 bytes from sec (10.1.0.21): icmp_seq=13 ttl=64 time=394 ms
64 bytes from sec (10.1.0.21): icmp_seq=14 ttl=64 time=236 ms
64 bytes from sec (10.1.0.21): icmp_seq=15 ttl=64 time=440 ms
64 bytes from sec (10.1.0.21): icmp_seq=16 ttl=64 time=878 ms
64 bytes from sec (10.1.0.21): icmp_seq=17 ttl=64 time=420 ms
64 bytes from sec (10.1.0.21): icmp_seq=18 ttl=64 time=770 ms
64 bytes from sec (10.1.0.21): icmp_seq=19 ttl=64 time=431 ms
64 bytes from sec (10.1.0.21): icmp_seq=20 ttl=64 time=358 ms
64 bytes from sec (10.1.0.21): icmp_seq=21 ttl=64 time=393 ms
64 bytes from sec (10.1.0.21): icmp_seq=22 ttl=64 time=221 ms
64 bytes from sec (10.1.0.21): icmp_seq=23 ttl=64 time=562 ms
64 bytes from sec (10.1.0.21): icmp_seq=24 ttl=64 time=637 ms
64 bytes from sec (10.1.0.21): icmp_seq=25 ttl=64 time=49.4 ms
64 bytes from sec (10.1.0.21): icmp_seq=26 ttl=64 time=294 ms
64 bytes from sec (10.1.0.21): icmp_seq=27 ttl=64 time=639 ms
64 bytes from sec (10.1.0.21): icmp_seq=28 ttl=64 time=133 ms
64 bytes from sec (10.1.0.21): icmp_seq=29 ttl=64 time=226 ms
64 bytes from sec (10.1.0.21): icmp_seq=30 ttl=64 time=780 ms
64 bytes from sec (10.1.0.21): icmp_seq=31 ttl=64 time=245 ms
64 bytes from sec (10.1.0.21): icmp_seq=32 ttl=64 time=514 ms
64 bytes from sec (10.1.0.21): icmp_seq=33 ttl=64 time=245 ms
64 bytes from sec (10.1.0.21): icmp_seq=34 ttl=64 time=165 ms
64 bytes from sec (10.1.0.21): icmp_seq=35 ttl=64 time=91.6 ms
64 bytes from sec (10.1.0.21): icmp_seq=36 ttl=64 time=207 ms
64 bytes from sec (10.1.0.21): icmp_seq=37 ttl=64 time=415 ms
64 bytes from sec (10.1.0.21): icmp_seq=38 ttl=64 time=251 ms
64 bytes from sec (10.1.0.21): icmp_seq=39 ttl=64 time=165 ms
64 bytes from sec (10.1.0.21): icmp_seq=40 ttl=64 time=1306 ms
64 bytes from sec (10.1.0.21): icmp_seq=41 ttl=64 time=484 ms
64 bytes from sec (10.1.0.21): icmp_seq=42 ttl=64 time=510 ms
64 bytes from sec (10.1.0.21): icmp_seq=43 ttl=64 time=220 ms
64 bytes from sec (10.1.0.21): icmp_seq=44 ttl=64 time=342 ms
64 bytes from sec (10.1.0.21): icmp_seq=45 ttl=64 time=692 ms
64 bytes from sec (10.1.0.21): icmp_seq=46 ttl=64 time=320 ms
64 bytes from sec (10.1.0.21): icmp_seq=47 ttl=64 time=122 ms
64 bytes from sec (10.1.0.21): icmp_seq=48 ttl=64 time=655 ms
64 bytes from sec (10.1.0.21): icmp_seq=49 ttl=64 time=360 ms
64 bytes from sec (10.1.0.21): icmp_seq=50 ttl=64 time=622 ms

--- sec ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49082ms
rtt min/avg/max/mdev = 49.410/430.321/1306.375/249.950 ms
