kerem@ubuntu:~/middlebox$ sudo docker exec insec ping -c 50 sec
PING sec (10.1.0.21) 56(84) bytes of data.
64 bytes from sec (10.1.0.21): icmp_seq=1 ttl=64 time=12.0 ms
64 bytes from sec (10.1.0.21): icmp_seq=2 ttl=64 time=6.87 ms
64 bytes from sec (10.1.0.21): icmp_seq=3 ttl=64 time=6.16 ms
64 bytes from sec (10.1.0.21): icmp_seq=4 ttl=64 time=10.0 ms
64 bytes from sec (10.1.0.21): icmp_seq=5 ttl=64 time=9.31 ms
64 bytes from sec (10.1.0.21): icmp_seq=6 ttl=64 time=7.14 ms
64 bytes from sec (10.1.0.21): icmp_seq=7 ttl=64 time=5.58 ms
64 bytes from sec (10.1.0.21): icmp_seq=8 ttl=64 time=12.1 ms
64 bytes from sec (10.1.0.21): icmp_seq=9 ttl=64 time=14.3 ms
64 bytes from sec (10.1.0.21): icmp_seq=10 ttl=64 time=9.72 ms
64 bytes from sec (10.1.0.21): icmp_seq=11 ttl=64 time=6.02 ms
64 bytes from sec (10.1.0.21): icmp_seq=12 ttl=64 time=7.70 ms
64 bytes from sec (10.1.0.21): icmp_seq=13 ttl=64 time=12.0 ms
64 bytes from sec (10.1.0.21): icmp_seq=14 ttl=64 time=9.13 ms
64 bytes from sec (10.1.0.21): icmp_seq=15 ttl=64 time=11.5 ms
64 bytes from sec (10.1.0.21): icmp_seq=16 ttl=64 time=5.87 ms
64 bytes from sec (10.1.0.21): icmp_seq=17 ttl=64 time=8.70 ms
64 bytes from sec (10.1.0.21): icmp_seq=18 ttl=64 time=13.0 ms
64 bytes from sec (10.1.0.21): icmp_seq=19 ttl=64 time=6.47 ms
64 bytes from sec (10.1.0.21): icmp_seq=20 ttl=64 time=6.72 ms
64 bytes from sec (10.1.0.21): icmp_seq=21 ttl=64 time=5.59 ms
64 bytes from sec (10.1.0.21): icmp_seq=22 ttl=64 time=6.75 ms
64 bytes from sec (10.1.0.21): icmp_seq=23 ttl=64 time=8.53 ms
64 bytes from sec (10.1.0.21): icmp_seq=24 ttl=64 time=5.80 ms
64 bytes from sec (10.1.0.21): icmp_seq=25 ttl=64 time=16.0 ms
64 bytes from sec (10.1.0.21): icmp_seq=26 ttl=64 time=9.90 ms
64 bytes from sec (10.1.0.21): icmp_seq=27 ttl=64 time=7.01 ms
64 bytes from sec (10.1.0.21): icmp_seq=28 ttl=64 time=6.48 ms
64 bytes from sec (10.1.0.21): icmp_seq=29 ttl=64 time=5.94 ms
64 bytes from sec (10.1.0.21): icmp_seq=30 ttl=64 time=5.52 ms
64 bytes from sec (10.1.0.21): icmp_seq=31 ttl=64 time=6.89 ms
64 bytes from sec (10.1.0.21): icmp_seq=32 ttl=64 time=9.81 ms
64 bytes from sec (10.1.0.21): icmp_seq=33 ttl=64 time=7.21 ms
64 bytes from sec (10.1.0.21): icmp_seq=34 ttl=64 time=6.94 ms
64 bytes from sec (10.1.0.21): icmp_seq=35 ttl=64 time=5.68 ms
64 bytes from sec (10.1.0.21): icmp_seq=36 ttl=64 time=15.8 ms
64 bytes from sec (10.1.0.21): icmp_seq=37 ttl=64 time=8.88 ms
64 bytes from sec (10.1.0.21): icmp_seq=38 ttl=64 time=9.02 ms
64 bytes from sec (10.1.0.21): icmp_seq=39 ttl=64 time=9.43 ms
64 bytes from sec (10.1.0.21): icmp_seq=40 ttl=64 time=6.62 ms
64 bytes from sec (10.1.0.21): icmp_seq=41 ttl=64 time=7.56 ms
64 bytes from sec (10.1.0.21): icmp_seq=42 ttl=64 time=5.63 ms
64 bytes from sec (10.1.0.21): icmp_seq=43 ttl=64 time=5.80 ms
64 bytes from sec (10.1.0.21): icmp_seq=44 ttl=64 time=5.72 ms
64 bytes from sec (10.1.0.21): icmp_seq=45 ttl=64 time=15.2 ms
64 bytes from sec (10.1.0.21): icmp_seq=46 ttl=64 time=9.84 ms
64 bytes from sec (10.1.0.21): icmp_seq=47 ttl=64 time=7.03 ms
64 bytes from sec (10.1.0.21): icmp_seq=48 ttl=64 time=18.9 ms
64 bytes from sec (10.1.0.21): icmp_seq=49 ttl=64 time=12.0 ms
64 bytes from sec (10.1.0.21): icmp_seq=50 ttl=64 time=10.0 ms

--- sec ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49063ms
rtt min/avg/max/mdev = 5.523/8.831/18.873/3.179 ms
